IP,Ping,Hostname,Ports,MAC Address,Packet Loss,MAC Vendor,Comments
172.17.152.44,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.45,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.46,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.47,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.48,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.49,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.50,4 ms,[n/a],80.443,00:08:31:30:A1:35,0/4 (0%),Cisco,[n/a]
172.17.152.51,4 ms,[n/a],22,50:2F:C0:00:0A:00,0/4 (0%),[n/a],[n/a]
172.17.152.52,3 ms,[n/a],22,50:E6:12:00:0B:00,0/4 (0%),[n/a],[n/a]
172.17.152.53,3 ms,[n/a],22,50:28:78:00:01:00,0/4 (0%),[n/a],[n/a]
172.17.152.54,4 ms,[n/a],22,50:0D:C9:00:02:00,0/4 (0%),[n/a],[n/a]
172.17.152.55,4 ms,[n/a],22,50:AD:EF:00:0C:00,0/4 (0%),[n/a],[n/a]
172.17.152.56,3 ms,[n/a],22,50:D0:B1:00:0D:00,0/4 (0%),[n/a],[n/a]
172.17.152.57,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.58,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.59,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.60,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.61,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.62,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.63,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.64,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.65,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.66,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.67,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.68,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.69,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.70,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.71,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.72,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.73,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.74,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.75,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.76,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.77,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.78,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.79,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.80,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.81,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.82,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.83,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.84,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.85,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.86,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.87,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.88,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.89,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.90,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.91,4 ms,[n/a],22.80.443,00:25:B5:30:C1:07,0/4 (0%),Cisco,[n/a]
172.17.152.92,3 ms,[n/a],22.80.443,00:25:B5:30:C1:03,0/4 (0%),Cisco,[n/a]
172.17.152.93,4 ms,[n/a],22.80.443,00:25:B5:30:C1:04,0/4 (0%),Cisco,[n/a]
172.17.152.94,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.95,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.96,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.97,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.98,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.99,4 ms,[n/a],80.443,00:08:31:30:A1:35,0/4 (0%),Cisco,[n/a]
172.17.152.100,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.101,4 ms,[n/a],22.80.443,00:0C:29:5A:59:2C,0/4 (0%),VMware,[n/a]
172.17.152.102,3 ms,[n/a],22,00:0C:29:A3:7F:FB,0/4 (0%),VMware,[n/a]
172.17.152.103,4 ms,[n/a],22,00:0C:29:A6:19:0D,0/4 (0%),VMware,[n/a]
172.17.152.104,4 ms,[n/a],22.80.443,00:0C:29:ED:0B:B0,0/4 (0%),VMware,[n/a]
172.17.152.105,3 ms,[n/a],22,00:0C:29:0B:AC:5E,0/4 (0%),VMware,[n/a]
172.17.152.106,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.107,4 ms,[n/a],22.80.443,00:0C:29:48:66:D2,0/4 (0%),VMware,[n/a]
172.17.152.108,4 ms,[n/a],22,00:0C:29:69:B7:C3,0/4 (0%),VMware,[n/a]
172.17.152.109,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.110,3 ms,WIN-2R5RBR8SHFQ,80.443.3389,00:0C:29:14:EF:1B,0/4 (0%),VMware,[n/a]
172.17.152.111,4 ms,[n/a],22.80.443,00:0C:29:FA:0C:04,0/4 (0%),VMware,[n/a]
172.17.152.112,4 ms,[n/a],22.80.443.8080,00:50:56:8E:44:FA,0/4 (0%),VMware,[n/a]
172.17.152.113,0 ms,WIN-63ESRA7806L,3389,00:0C:29:9C:36:66,0/4 (0%),VMware,[n/a]
172.17.152.114,4 ms,WIN-3UV7KGMLLBR,3389,00:50:56:8E:80:A7,0/4 (0%),VMware,[n/a]
172.17.152.115,4 ms,[n/a],22.80.443,00:50:56:8E:4E:AE,0/4 (0%),VMware,[n/a]
172.17.152.116,4 ms,[n/a],22,00:50:56:8E:03:9A,0/4 (0%),VMware,[n/a]
172.17.152.117,3 ms,WIN-Q8VTM98LAVU,3389,00:50:56:8E:BF:1D,0/4 (0%),VMware,[n/a]
172.17.152.118,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.119,3 ms,[n/a],22,00:50:56:8E:21:56,0/4 (0%),VMware,[n/a]
172.17.152.120,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.121,3 ms,[n/a],22.80.443,00:50:56:8E:C5:C1,0/4 (0%),VMware,[n/a]
172.17.152.122,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.123,4 ms,[n/a],22.80.443,00:50:56:8E:FE:EC,0/4 (0%),VMware,[n/a]
172.17.152.124,4 ms,[n/a],22,00:50:56:8E:AB:7B,0/4 (0%),VMware,[n/a]
172.17.152.125,4 ms,[n/a],22.80.443,00:50:56:8E:AF:66,0/4 (0%),VMware,[n/a]
172.17.152.126,3 ms,[n/a],22,00:50:56:8E:9C:5D,0/4 (0%),VMware,[n/a]
172.17.152.127,3 ms,[n/a],22.80.443,00:50:56:8E:52:87,0/4 (0%),VMware,[n/a]
172.17.152.128,4 ms,[n/a],22,00:50:56:8E:A4:B0,0/4 (0%),VMware,[n/a]
172.17.152.129,4 ms,[n/a],22,00:50:56:8E:8F:FD,0/4 (0%),VMware,[n/a]
172.17.152.130,3 ms,[n/a],22.80.443,00:50:56:8E:4E:EE,0/4 (0%),VMware,[n/a]
172.17.152.131,3 ms,WIN-1QVRF2H7SN1,3389,00:50:56:8E:F5:5B,0/4 (0%),VMware,[n/a]
172.17.152.132,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.133,4 ms,[n/a],22.80.443,00:50:56:8E:AD:A3,0/4 (0%),VMware,[n/a]
172.17.152.134,4 ms,[n/a],22,00:50:56:8E:23:09,0/4 (0%),VMware,[n/a]
172.17.152.135,3 ms,[n/a],22,00:50:56:8E:E9:1C,0/4 (0%),VMware,[n/a]
172.17.152.136,3 ms,[n/a],22.8080,00:50:56:8E:BA:B4,0/4 (0%),VMware,[n/a]
172.17.152.137,4 ms,[n/a],22.80.443,00:50:56:8E:2A:E4,0/4 (0%),VMware,[n/a]
172.17.152.138,4 ms,[n/a],22.80.443,00:50:56:8E:DE:3A,0/4 (0%),VMware,[n/a]
172.17.152.139,3 ms,[n/a],22.80.443,00:50:56:8E:F0:5E,0/4 (0%),VMware,[n/a]
172.17.152.140,3 ms,[n/a],22,00:50:56:8E:0C:9B,0/4 (0%),VMware,[n/a]
172.17.152.141,4 ms,WIN-0ET4OJCOM91,80.443.3389,00:50:56:8E:E3:02,0/4 (0%),VMware,[n/a]
172.17.152.142,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.143,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.144,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.145,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.146,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.147,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.148,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.149,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.150,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.151,3 ms,[n/a],22.80.443,10:F9:20:79:FD:9C,0/4 (0%),Cisco,[n/a]
172.17.152.152,4 ms,[n/a],22.80.443,00:EA:BD:93:DB:24,0/4 (0%),Cisco,[n/a]
172.17.152.153,4 ms,[n/a],22,00:15:5D:02:05:09,0/4 (0%),Microsoft,[n/a]
172.17.152.154,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.155,3 ms,[n/a],22.80.443,00:EA:BD:93:DD:90,0/4 (0%),Cisco,[n/a]
172.17.152.156,4 ms,[n/a],22.443,10:F9:20:EE:D8:44,0/4 (0%),Cisco,[n/a]
172.17.152.157,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.158,4 ms,[n/a],22.443,10:F9:20:EE:DB:78,0/4 (0%),Cisco,[n/a]
172.17.152.159,3 ms,[n/a],22.443,10:F9:20:EE:CC:8C,0/4 (0%),Cisco,[n/a]
172.17.152.160,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.161,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.162,4 ms,[n/a],80.443,00:08:31:30:A1:35,0/4 (0%),Cisco,[n/a]
172.17.152.163,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.164,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.165,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.166,4 ms,[n/a],22.443,50:2E:C9:00:10:00,0/4 (0%),[n/a],[n/a]
172.17.152.167,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.168,4 ms,[n/a],443,50:93:71:00:13:00,0/4 (0%),[n/a],[n/a]
172.17.152.169,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.170,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.171,1500 ms,[n/a],80.443,00:08:31:30:A1:35,2/4 (50%),Cisco,[n/a]
172.17.152.172,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.173,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.174,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.175,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.176,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.177,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.178,4 ms,[n/a],80.443,00:08:31:30:A1:35,0/4 (0%),Cisco,[n/a]
172.17.152.179,3 ms,[n/a],80.443,00:08:31:30:A1:35,0/4 (0%),Cisco,[n/a]
172.17.152.180,4 ms,[n/a],80.443,00:08:31:30:A1:35,0/4 (0%),Cisco,[n/a]
172.17.152.181,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.182,3 ms,[n/a],22.80,50:C9:68:00:0E:00,0/4 (0%),[n/a],[n/a]
172.17.152.183,4 ms,[n/a],22.80,50:A2:73:00:0F:00,0/4 (0%),[n/a],[n/a]
172.17.152.184,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.185,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.186,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.187,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.188,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.189,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.190,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.191,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.192,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.193,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.194,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.195,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.196,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.197,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.198,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.199,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.200,1531 ms,[n/a],[n/a],00:0C:29:A6:19:0D,2/4 (50%),VMware,[n/a]
172.17.152.201,4 ms,[n/a],22.80.443,00:B7:71:7D:ED:63,0/4 (0%),Cisco,[n/a]
172.17.152.202,3 ms,[n/a],22.80.443,00:B7:71:7D:BF:9D,0/4 (0%),Cisco,[n/a]
172.17.152.203,4 ms,ceph-node1.local,22.80,00:B7:71:7D:E7:E3,0/4 (0%),Cisco,[n/a]
172.17.152.204,4 ms,[n/a],22.80.443,40:A6:B7:8C:F4:DD,0/4 (0%),Intel Corporate,[n/a]
172.17.152.205,4 ms,[n/a],22.80,10:F9:20:79:FD:A2,0/4 (0%),Cisco,[n/a]
172.17.152.206,3 ms,[n/a],22,40:A6:B7:8C:FF:1C,0/4 (0%),Intel Corporate,[n/a]
172.17.152.207,4 ms,[n/a],22.80.443,40:A6:B7:8D:04:58,0/4 (0%),Intel Corporate,[n/a]
172.17.152.208,4 ms,[n/a],22.80.443,40:A6:B7:8D:04:58,0/4 (0%),Intel Corporate,[n/a]
172.17.152.209,3 ms,[n/a],22.80.443,40:A6:B7:8D:04:58,0/4 (0%),Intel Corporate,[n/a]
172.17.152.210,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.211,4 ms,landingzone.local,22.80,10:F9:20:79:FD:A2,0/4 (0%),Cisco,[n/a]
172.17.152.212,1891 ms,[n/a],[n/a],40:A6:B7:8C:F4:DD,2/4 (50%),Intel Corporate,[n/a]
172.17.152.213,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.214,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.215,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.216,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.217,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.218,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.219,4 ms,[n/a],22.443,D0:39:EA:4E:3F:DF,0/4 (0%),NetApp,[n/a]
172.17.152.220,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.221,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.222,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.223,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.224,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.225,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.226,3 ms,[n/a],22,D0:39:EA:4E:3F:E1,0/4 (0%),NetApp,[n/a]
172.17.152.227,3 ms,[n/a],22.443,D0:39:EA:4E:3F:DF,0/4 (0%),NetApp,[n/a]
172.17.152.228,3 ms,[n/a],22,D0:39:EA:4E:3B:7D,0/4 (0%),NetApp,[n/a]
172.17.152.229,3 ms,[n/a],22.443,D0:39:EA:4E:3B:7B,0/4 (0%),NetApp,[n/a]
172.17.152.230,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.231,1797 ms,[n/a],80.443,00:B7:71:7D:BF:9D,2/4 (50%),Cisco,[n/a]
172.17.152.232,1781 ms,[n/a],443,00:B7:71:7D:BF:9D,2/4 (50%),Cisco,[n/a]
172.17.152.233,1765 ms,[n/a],[n/a],00:B7:71:7D:BF:9D,2/4 (50%),Cisco,[n/a]
172.17.152.234,2000 ms,[n/a],[n/a],00:B7:71:7D:BF:9D,2/4 (50%),Cisco,[n/a]
172.17.152.235,1922 ms,[n/a],[n/a],00:B7:71:7D:BF:9D,2/4 (50%),Cisco,[n/a]
172.17.152.236,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.237,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.238,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.239,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.240,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.241,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.242,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.243,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.244,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.245,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.246,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.247,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.248,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.249,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.250,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.251,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.252,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.253,[n/a],[n/s],[n/s],[n/s],[n/s],[n/s],[n/s]
172.17.152.254,4 ms,[n/a],22,00:00:0C:07:AC:01,0/4 (0%),Cisco,[n/a]
